p53 signaling:,Cell Cycle:,Notch signaling,DNA damage,RTK signaling,PI3K-AKT-mTOR,Ras-Raf-MEK-JNK signaling,TGF-β signaling,Invasion and metasis
TP53,RB1,ADAM10,CHEK1,EGFR,PIK3CA,KRAS,TGFB1,MMP1
MDM2,RBL1,ADAM17,CHEK2,ERBB2,PIK3R1,HRAS,TGFB2,MMP2
MDM4,RBL2,APH1A,RAD51,ERBB3,PIK3R2,BRAF,TGFB3,MMP3
CDKN2A,CCNA1,APH1B,BRCA1,ERBB4,PTEN,RAF1,TGFBR1,MMP7
CDKN2B,CCNB1,ARRDC1,BRCA2,PDGFA,PDPK1,MAP3K1,TGFBR2,MMP9
TP53BP1,CDK1,CIR1,MLH1,PDGFB,AKT1,MAP3K2,TGFBR3,MMP10
,CCNE1,CTBP1,MSH2,PDGFRA,AKT2,MAP3K3,BMP2,MMP11
,CDK2,CTBP2,ATM,PDGFRB,FOXO1,MAP3K4,BMP3,MMP12
,CDC25A,CUL1,ATR,KIT,FOXO3,MAP3K5,BMP4,MMP13
,CCND1,DLL1,MDC1,FGF1,MTOR,MAP2K1,BMP5,MMP14
,CDK4,DLL3,PARP1,FGFR1,RICTOR,MAP2K2,BMP6,MMP15
,CDK6,DLL4,FANCF,IGF1,TSC1,MAP2K3,BMP7,MMP16
,CCND2,DTX1,,IGF1R,TSC2,MAP2K4,GDF2,MMP17
,CDKN2A,DTX2,,VEGFA,RHEB,MAP2K5,BMP10,MMP19
,CDKN2B,DTX3,,VEGFB,AKT1S1,MAPK1,BMP15,MMP21
,MYC,DTX3L,,KDR,RPTOR,MAPK3,BMPR1A,MMP24
,CDKN1A,DTX4,,,MLST8,MAPK4,BMPR1B,MMP25
,CDKN1B,EP300,,,,MAPK6,BMPR2,MMP26
,E2F1,FBXW7,,,,MAPK7,ACVR1,MMP27
,E2F2,HDAC1,,,,MAPK8,ACVR1B,MMP28
,E2F3,HDAC2,,,,MAPK9,ACVR1C,ITGB3
,E2F4,HES1,,,,MAPK12,ACVR2A,ITGAV
,E2F5,HES5,,,,MAPK14,ACVR2B,PTK2
,E2F6,HEYL,,,,DAB2,ACVRL1,CDH1
,E2F7,ITCH,,,,RASSF1,GDF11,SPARC
,E2F8,JAG1,,,,RAB25,INHA,WFDC2
,SRC,JAG2,,,,,INHBA,
,JAK1,KDM5A,,,,,INHBB,
,JAK2,LFNG,,,,,INHBC,
,STAT1,MAML1,,,,,INHBE,
,STAT2,MAML2,,,,,SMAD2,
,STAT3,MAML3,,,,,SMAD3,
,STAT5A,MFNG,,,,,SMAD1,
,STAT5B,NCOR2,,,,,SMAD5,
,,NCSTN,,,,,SMAD4,
,,NOTCH1,,,,,SMAD9,
,,NOTCH2,,,,,SMAD6,
,,NOTCH3,,,,,SMAD7,
,,NOTCH4,,,,,SPTBN1,
,,NRARP,,,,,TGFBRAP1,
,,NUMB,,,,,ZFYVE9,
,,NUMBL,,,,,,
,,PSEN1,,,,,,
,,PSEN2,,,,,,
,,PSENEN,,,,,,
,,RBPJ,,,,,,
,,RBPJL,,,,,,
,,RFNG,,,,,,
,,SNW1,,,,,,
,,SPEN,,,,,,
,,HES2,,,,,,
,,HES4,,,,,,
,,HES7,,,,,,
,,HEY1,,,,,,
,,HEY2,,,,,,
